Object_model, Size of point cloud, CONST_RHO, Size Xi, CONST_D, RESELUTION, Number of grasps, OcTree created, Xi-sets calculated, ZMS calculated, L1-values calculated, L1-values sorted, fingerposes created, Best fingerpos
pc_from_CAD/Kopp.pcd, 18054, 5, 36, 1, 5, 60, 9.298324584960938e-06, 0.12428951263427734, 4.570865869522095, 4.786686420440674, 4.856753349304199, 5.548685073852539, 33.84755277633667
pc_from_CAD/Kopp.pcd, 18054, 4, 25, 1, 5, 60, 9.059906005859375e-06, 0.11168599128723145, 2.7649717330932617, 2.975165843963623, 3.0400567054748535, 3.7187185287475586, 32.523810386657715
pc_from_CAD/Kopp.pcd, 18054, 5, 36, 0.1, 5, 60, 9.298324584960938e-06, 0.1260085105895996, 4.6092143058776855, 4.83114767074585, 4.896888256072998, 5.579523801803589, 33.93245196342468
pc_from_CAD/Kopp.pcd, 18054, 4, 25, 0.1, 5, 60, 9.059906005859375e-06, 0.11242318153381348, 2.763514518737793, 2.970665693283081, 3.0405778884887695, 3.7361807823181152, 32.65111708641052
pc_from_CAD/Kopp.pcd, 18054, 4, 25, 0.1, 5, 100, 1.4781951904296875e-05, 0.11364102363586426, 2.7803938388824463, 2.999141216278076, 3.0649311542510986, 4.104657888412476, 52.03733563423157
pc_from_CAD/Kopp.pcd, 18054, 7, 63, 0.1, 5, 100, 1.0013580322265625e-05, 0.14966607093811035, 8.903256177902222, 9.113641738891602, 9.18369436264038, 10.252434015274048, 59.61928701400757
pc_from_CAD/Kopp.pcd, 18054, 6, 50, 0.1, 5, 60, 2.5272369384765625e-05, 0.1372671127319336, 6.72386360168457, 6.942321538925171, 7.017985820770264, 7.714250802993774, 38.319183588027954
pc_from_CAD/Kopp.pcd, 18054, 7, 63, 0.1, 5, 60, 9.298324584960938e-06, 0.15133261680603027, 8.82440447807312, 9.04032301902771, 9.105830430984497, 9.791354656219482, 39.39088201522827
pc_from_CAD/Kopp.pcd, 18054, 8, 84, 0.1, 5, 60, 1.049041748046875e-05, 0.1693260669708252, 11.391478776931763, 11.599004030227661, 11.666223526000977, 12.346542596817017, 41.03378748893738
pc_from_CAD/Kopp.pcd, 18054, 9, 106, 0.1, 5, 60, 9.298324584960938e-06, 0.1854546070098877, 15.039300680160522, 15.261965036392212, 15.33562684059143, 16.038498401641846, 46.906044483184814
pc_from_CAD/Kopp.pcd, 18054, 4, 25, 0.1, 1, 60, 1.0967254638671875e-05, 0.18209338188171387, 2.788959264755249, 3.002617120742798, 3.066727638244629, 3.788818597793579, 33.33470845222473
